COMNAME, Functional Group
Acadian Redfish,Groundfish
Alewife,Diadromous
American Eel,Diadromous
American Lobster,Invertebrates
American Plaice,Groundfish
American Sand Lance,Pelagic
American Shad,Diadromous
Anchovies,Pelagic
Atlantic Cod,Groundfish
Atlantic Croaker,Coastal
Atlantic Hagfish,Groundfish
Atlantic Halibut,Groundfish
Atlantic Herring,Pelagic
Atlantic Mackerel,Pelagic
Atlantic Menhaden,Coastal
Atlantic Rock Crab,Invertebrates
Atlantic Salmon,Diadromous
Atlantic Saury,Pelagic
Atlantic Sturgeon,Diadromous
Atlantic Surfclam,Invertebrates
Atlantic Wolffish,Groundfish
Barndoor Skate,Elasmobranch
Bay Scallop,Invertebrates
Black Sea Bass,Coastal
Bloodworm,Invertebrates
Blue Crab,Invertebrates
Blue Mussel,Invertebrates
Blueback Herring,Diadromous
Bluefish,Pelagic
Butterfish,Pelagic
Cancer Crab Uncl,Invertebrates
Channeled Whelk,Invertebrates
Clearnose Skate,Elasmobranch
Conger Eel,Diadromous
Cusk,Groundfish
Deep-sea Red Crab,Invertebrates
Dusky Shark,Elasmobranch
Eastern Oyster,Invertebrates
Green Sea Urchin,Invertebrates
Haddock,Groundfish
Hickory Shad,Diadromous
Horseshoe Crab,Invertebrates
Jonah Crab,Invertebrates
Knobbed Whelk,Invertebrates
Little Skate,Elasmobranch
Longfin Squid,Pelagic
Monkfish (Goosefish),Groundfish
Northern Kingfish,Coastal
Northern Quahog,Invertebrates
Northern Shortfin Squid,Pelagic
Northern Shrimp,Invertebrates
Ocean Pout,Groundfish
Ocean Quahog,Invertebrates
Offshore Hake,Groundfish
Pollock,Groundfish
Porbeagle Shark,Elasmobranch
Rainbow Smelt,Diadromous
Red Deepsea Crab,Invertebrates
Red Drum,Coastal
Red Hake,Groundfish
Rosette Skate,Elasmobranch
Sand Tiger,Elasmobranch
Scup,Coastal
Sea Scallop,Invertebrates
Shortnose Sturgeon,Diadromous
Silver Hake,Groundfish
Smooth Dogfish,Elasmobranch
Smooth Skate,Elasmobranch
Softshell Clam,Invertebrates
Spanish Mackerel,Coastal
Spiny Dogfish,Elasmobranch
Spot,Coastal
Spotted Seatrout,Coastal
Striped Bass,Coastal
Summer Flounder,Coastal
Tautog,Coastal
Thorny Skate,Elasmobranch
Tilefish,Groundfish
Weakfish,Coastal
White Hake,Groundfish
Windowpane Flounder,Groundfish
Winter Flounder,Coastal
Winter Skate,Elasmobranch
Witch Flounder,Groundfish
Yellowtail Flounder,Groundfish
Northern Sand Lance,Pelagic